ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
1859	OSTIGARD	genoa	D	D		14	11	6,77	9,25	6,05	6,75	8	10
145	OTOA	genoa	D	D		2	2	5,5	6	5,75	6	-0,5	-0,5
690	OYEGOKE	verona	D	E		1							
178	PALACIOS	inter	D	D		1							
663	PALMA	udinese	D	D		2	3	5,5	5,75	5,5	5,75	0	0
113	PARISI	fiorentina	D	E		6	6	5,58	5,75	5,75	5,88	-1	-1
396	PATRIC	lazio	D	D		2	1	6	6	6	6	0	0
179	PAVARD		D	D	*	11	1	6,5		6,5	-1	0	0
464	PAVLOVIC	milan	D	D		15	14	6,61	6,7	6,14	6,2	6,5	2,5
615	PAZ YE.	sassuolo	D	E		1							
397	PELLEGRINI LU.	lazio	D	E		8	10	5,75	5,75	5,8	5,88	-0,5	-0,5
432	PEREZ MA.	lecce	D	E		2							
1459	PEZZELLA	cremonese	D	E		7	9	5,83	5,5	5,89	5,75	-0,5	-1
616	PIERAGNOLO	sassuolo	D	E		1							
82	PINTUS	cagliari	D	D		1							
114	PONGRACIC	fiorentina	D	D		7	12	5,58	5,5	5,79	5,75	-2,5	-1
664	PONTES ESTEVES		D	D	*	3							
45	POSCH	como	D	D		8	5	6,4	5,33	5,8	5,33	3	3
578	PRIMASSO		D	D	*	1							
394	PROVSTGAARD	lazio	D	D		6	5	5,9	5,75	5,9	5,75	0	0
499	QUAGLIATA		D	E	*	6							
3846	RAMON	como	D	D		9	12	6	6,6	5,96	6,1	0,5	2,5
115	RANIERI	fiorentina	D	D		7	13	5,77	5,4	5,69	5,6	1	-1
500	RAVANELLI		D	D	*	6							
330	RENSCH	roma	D	E		5	3	6	5,5	6	5,5	0	0
691	RIGO		D	D	*	1							
221	RIZZO		D	D	*	1							
765	ROCCHETTI		D	E	*	6							
4402	RODRIGUEZ JU.	cagliari	D	D		3	1	6,5	6,5	6,5	6,5	0	0
617	ROMAGNA	sassuolo	D	D		4	3	5,67		5,67	-1	0	0
398	ROMAGNOLI	lazio	D	D		9	12	5,75	5,6	5,83	5,7	-1	-0,5
222	ROUHI	juventus	D	D		1							
254	RRAHMANI	napoli	D	D		11	7	6,21	6,1	6,21	6,1	0	0
618	RUAN		D	D	*	6							
223	RUGANI	juventus	D	D		4	3	5,5	5,5	5,5	5,5	0	0
399	RUGGERI		D	D	*	1							
579	RUS		D	D	*	6							
146	SABELLI	genoa	D	E		1	4	4,88		5,38	-1	-2	-2
368	SALA MA.	como	D	E		1							
603	SALAH-EDDINE		D	E	*	8							
321	SANGARE	roma	D	D		2							
224	SAVONA		D	E	*	6							
729	SAZONOV	torino	D	D		1							
12	SCALVINI	atalanta	D	D		8	4	6,88		6,13	-1	3	3
544	SCHUURS	torino	D	D		1							
435	SCOTT		D	D	*	6							
4301	SIEBERT	lecce	D	D		1	1	4,5		4,5	-1	0	0
692	SLOTSAGER	verona	D	D		1							
369	SMOLCIC	como	D	E		6	9	5,61	5,33	5,89	5,67	-2,5	-1,5
665	SOLET	udinese	D	D		11	14	6	6	5,93	6	1	0
255	SPINAZZOLA	napoli	D	E		14	9	6,67	5,75	6,17	5,75	4,5	1
180	STABILE		D	D	*	1							
181	STANTE		D	D	*	1							
693	TCHATCHOUA		D	E	*	9							
465	TERRACCIANO FI.	cremonese	D	E		13	13	6,46	5,5	6,12	5,7	4,5	-1
466	THIAW		D	D	*	10							
436	TIAGO GABRIEL	lecce	D	D		11	14	6,07	6	5,89	6	2,5	0
467	TOMORI	milan	D	D		13	11	6,18	6,83	6,14	6,33	0,5	1
296	TRABUCCHI	parma	D	D		1							
4302	TROILO	parma	D	D		2	3	5,17	5,17	5,5	5,5	-1	-1
4373	TSIMIKAS	roma	D	E		7	5	5,6	5,75	5,7	5,75	-0,5	-0,5
225	TURRICCHIA		D	D	*	1							
1077	UBANI		D	E	*	5							
1075	ULINEIA BUTA		D	E	*	2							
297	VALENTI	parma	D	D		8	10	5,8	5,9	5,9	6	-1	-0,5
1076	VALENTINI	verona	D	D		5	5	5,8	5,75	5,9	6	-0,5	-0,5
298	VALERI	parma	D	E		9	10	5,95	5,88	5,85	5,88	1	0
370	VALLE	como	D	E		10	12	5,92	5,63	5,88	5,63	0,5	1
359	VAN DER BREMPT	como	D	E		2	2	5,5		5,75	-1	-0,5	-0,5
182	VANHEUSDEN		D	D	*	2							
147	VASQUEZ	genoa	D	D		9	14	5,82	5,9	5,86	5,9	-0,5	0
433	VEIGA	lecce	D	D		7	13	5,69	5,8	5,73	5,9	-0,5	-0,5
758	VEROLI		D	D	*	4							
117	VITI	fiorentina	D	D		2	5	5,1	5,5	5,4	5,75	-1,5	-1,5
751	VITIK	bologna	D	D		7	5	5,9		6	-1	-0,5	-0,5
299	VOGLIACCO		D	D	*	6							
372	VOJVODA	como	D	E		8	11	5,95	5,33	5,77	5,33	2	3
545	WALUKIEWICZ	sassuolo	D	D		8	13	5,81	5,8	5,88	5,9	-1	-0,5
1675	WESLEY	roma	D	E		13	12	6,46	6,75	6,08	6,13	4,5	2,5
83	WIETESKA		D	D	*	6							
148	ZANOLI	udinese	D	E		8	11	5,86	5,7	5,77	5,7	1	0
85	ZAPPA	cagliari	D	E		9	12	5,79	6	5,79	5,8	0	1
23	ZAPPACOSTA	atalanta	D	E		8	11	5,73	5,3	5,73	5,4	0	-0,5
4457	ZE PEDRO	cagliari	D	D		4	5	5,5		5,5	-1	0	0
666	ZEMURA	udinese	D	E		5	8	5,56	5,67	5,63	5,67	-0,5	-0,5
4408	ZIOLKOWSKI	roma	D	D		4	3	5,33	5	5,67	5,5	-1	-1
95	ZORTEA	bologna	D	E		10	9	5,94	5,83	5,94	5,83	0	0
732	ABILDGAARD		C	C	*	2							
619	ABUBAKAR		C	C	*	2							
772	ADDAI	como	C	T		10	9	6,83	7	5,94	5,9	8	5,5
468	ADLI		C	C	*	10							
86	ADOPO	cagliari	C	C		10	14	5,93	5,8	5,86	5,8	1	0
227	ADZIC	juventus	C	T		6	4	6,88	6	6,13	6	3	3
46	AEBISCHER	pisa	C	C		10	13	5,88	5,9	6	6,1	-1,5	-1
767	AFENA-GYAN		C	T	*	8							
183	AKINSANMIRO	pisa	C	C		10	11	6,09	6,17	6,05	6,17	0,5	1
5369	AKPA AKPRO	verona	C	C		5	9	5,5	5,5	5,72	5,67	-2	-1
4374	AL-MUSRATI	verona	C	C		5	3	5,83	5,75	6	6	-0,5	-0,5
373	ALLI		C	T	*	8							
268	ANGUISSA	napoli	C	C		20	11	7,55	5,5	6,41	5,75	12,5	5,5
546	ANJORIN	torino	C	C		4	4	5,38	5,33	5,5	5,5	-0,5	-0,5
1060	ARAMU		C	T	*	1							
1070	ARTHUR MELO		C	C	*	3							
184	ASLLANI	torino	C	C		6	12	5,46	4,75	5,83	5,63	-4,5	-3,5
667	ATTA	udinese	C	C		13	13	6,5	5,88	6,19	6	4	-0,5
4223	BAILEY	roma	C	T		8	5	5,5	5,5	5,5	5,5	0	0
332	BALDANZI	roma	C	T		7	8	5,5	5,63	5,63	5,75	-1	-1
668	BALLARINI		C	C	*	1							
773	BALLET		C	T	*	11							
119	BARAK		C	T	*	8							
185	BARELLA	inter	C	C		18	14	6,75	6,5	6,29	6,3	6,5	1
400	BASIC	lazio	C	C		12	10	6,65	6,2	6,15	6	5	1
770	BATURINA	como	C	T		14	5	6,4	7	5,8	6	3	3
547	BAYEYE		C	C	*	1							
401	BELAHYANE	lazio	C	C		3	4	5,38		5,5	-1	-0,5	-0,5
469	BENNACER		C	C	*	11							
437	BERISHA	lecce	C	C		15	12	6,92	7,3	6,17	6,3	9	5
301	BERNABE	parma	C	C		15	14	6,54	7,5	6,11	6,3	6	6
694	BERNEDE	verona	C	C		9	14	6	6,6	5,82	6	2,5	3
121	BIANCO		C	C	*	9							
